image,A,B,C,D
ISIC_0013425.jpg,0.26,1.71,0.11,0.71
ISIC_0011135.jpg,0.38,3.0,0.24,0.61
ISIC_0014059.jpg,0.23,3.75,0.23,0.72
ISIC_0012746.jpg,0.2,1.93,0.19,0.71
ISIC_0013986.jpg,0.17,1.21,0.09,0.66
ISIC_0015645.jpg,0.22,21.94,0.26,0.63
ISIC_0000055.jpg,0.13,3.05,0.2,0.76
ISIC_0013371.jpg,0.21,2.1,0.09,0.75
ISIC_0011173.jpg,0.35,4.28,0.23,0.65
ISIC_0015559.jpg,0.36,1.29,0.33,0.68
ISIC_0015937.jpg,0.14,3.79,0.17,0.65
ISIC_0015997.jpg,0.18,4.6,0.15,0.64
ISIC_0009941.jpg,0.13,2.34,0.19,0.62
ISIC_0000227.jpg,0.09,2.68,0.36,0.63
ISIC_0016007.jpg,0.21,12.59,0.14,0.64
ISIC_0007322.jpg,0.2,1.24,0.13,0.62
ISIC_0013178.jpg,0.46,1.82,0.11,0.82
ISIC_0000112.jpg,0.18,1.24,0.18,0.64
ISIC_0000235.jpg,0.15,1.15,0.31,0.68
ISIC_0012976.jpg,0.15,1.67,0.21,0.66
ISIC_0000136.jpg,0.15,1.31,0.51,0.68
ISIC_0013972.jpg,0.16,1.34,0.09,0.75
ISIC_0015115.jpg,0.14,1.35,0.22,0.7
ISIC_0014779.jpg,0.28,1.85,0.25,0.75
ISIC_0012258.jpg,0.19,1.25,0.09,0.66
ISIC_0010020.jpg,0.22,1.3,0.22,0.7
ISIC_0015018.jpg,0.12,1.17,0.26,0.59
ISIC_0010442.jpg,0.17,2.02,0.16,0.58
ISIC_0012313.jpg,0.13,1.62,0.18,0.71
ISIC_0014046.jpg,0.19,1.71,0.07,0.7
ISIC_0008528.jpg,0.14,1.98,0.1,0.75
ISIC_0012889.jpg,0.26,1.77,0.06,0.71
ISIC_0012891.jpg,0.17,1.76,0.19,0.7
ISIC_0000544.jpg,0.13,2.73,0.22,0.65
ISIC_0000514.jpg,0.28,3.01,0.22,0.67
ISIC_0010848.jpg,0.1,1.16,0.14,0.67
ISIC_0000066.jpg,0.2,2.36,0.43,0.68
ISIC_0000125.jpg,0.15,7.6,0.28,0.64
ISIC_0013529.jpg,0.18,1.64,0.11,0.67
ISIC_0008280.jpg,0.18,2.12,0.15,0.64
ISIC_0000533.jpg,0.12,1.29,0.27,0.71
ISIC_0009946.jpg,0.1,1.17,0.2,0.65
ISIC_0001133.jpg,0.13,1.21,0.22,0.65
ISIC_0013664.jpg,0.62,21.49,0.08,0.79
ISIC_0015404.jpg,0.1,1.13,0.27,0.67
ISIC_0013719.jpg,0.13,1.8,0.16,0.69
ISIC_0013573.jpg,0.26,18.43,0.1,0.64
ISIC_0013690.jpg,0.19,1.17,0.16,0.65
ISIC_0014501.jpg,0.19,2.08,0.1,0.68
ISIC_0008396.jpg,0.1,1.15,0.11,0.61
ISIC_0000517.jpg,0.0,1.58,0.19,2.17
ISIC_0000243.jpg,0.11,3.16,0.21,0.67
ISIC_0013459.jpg,0.16,1.16,0.1,0.65
ISIC_0014787.jpg,0.31,58.93,0.3,0.83
ISIC_0000175.jpg,0.17,1.34,0.42,0.61
ISIC_0012235.jpg,0.09,1.6,0.07,0.66
ISIC_0010102.jpg,0.18,1.2,0.18,0.67
ISIC_0014941.jpg,0.18,37.68,0.3,0.72
ISIC_0013315.jpg,0.05,1.14,0.28,0.61
ISIC_0015184.jpg,0.3,16.98,0.36,0.7
ISIC_0014823.jpg,0.11,1.58,0.32,0.61
ISIC_0014974.jpg,0.17,12.3,0.29,0.59
ISIC_0014949.jpg,0.2,35.7,0.3,0.66
ISIC_0016017.jpg,0.24,10.66,0.15,0.66
ISIC_0015403.jpg,0.17,1.27,0.3,0.7
ISIC_0015627.jpg,0.22,1.92,0.18,0.68
ISIC_0012496.jpg,0.13,1.68,0.11,0.68
ISIC_0000524.jpg,0.18,3.03,0.29,0.69
ISIC_0012837.jpg,0.35,30.98,0.14,0.84
ISIC_0014922.jpg,0.18,1.8,0.39,0.72
ISIC_0000167.jpg,0.3,1.46,0.38,0.67
ISIC_0015031.jpg,0.31,1.28,0.25,0.69
ISIC_0000384.jpg,0.23,8.28,0.25,0.65
ISIC_0010062.jpg,0.08,1.18,0.19,0.8
ISIC_0002836.jpg,0.13,1.23,0.15,0.69
ISIC_0013430.jpg,0.09,1.68,0.17,0.63
ISIC_0010235.jpg,0.15,1.19,0.16,0.8
ISIC_0013799.jpg,0.15,3.96,0.16,0.68
ISIC_0012109.jpg,0.1,1.73,0.24,0.72
ISIC_0013988.jpg,0.15,1.25,0.09,0.8
ISIC_0015526.jpg,0.14,22.75,0.35,0.66
ISIC_0011110.jpg,0.15,1.2,0.37,0.66
ISIC_0000244.jpg,0.22,3.02,0.2,0.66
ISIC_0010263.jpg,0.31,2.94,0.3,0.66
ISIC_0014833.jpg,0.14,1.24,0.21,0.78
ISIC_0014930.jpg,0.1,1.73,0.34,0.69
ISIC_0014797.jpg,0.12,3.58,0.25,0.62
ISIC_0012939.jpg,0.19,1.56,0.19,0.74
ISIC_0000192.jpg,0.1,1.26,0.34,0.75
ISIC_0010362.jpg,0.19,1.75,0.38,0.72
ISIC_0015969.jpg,0.1,1.19,0.22,0.68
ISIC_0013052.jpg,0.16,1.16,0.04,0.64
ISIC_0000376.jpg,0.12,1.32,0.2,0.66
ISIC_0014110.jpg,0.27,17.14,0.15,0.6
ISIC_0015146.jpg,0.11,8.8,0.22,0.66
ISIC_0012382.jpg,0.09,1.69,0.15,0.63
ISIC_0013176.jpg,0.54,19.62,0.11,0.67
ISIC_0000374.jpg,0.22,3.66,0.27,0.64
ISIC_0010465.jpg,0.3,2.09,0.26,0.75
ISIC_0011356.jpg,0.22,1.26,0.2,0.88
ISIC_0010318.jpg,0.37,2.37,0.18,0.62
ISIC_0013190.jpg,0.06,1.71,0.19,0.7
ISIC_0013414.jpg,0.23,7.44,0.16,0.65
ISIC_0012212.jpg,0.12,1.71,0.13,0.73
ISIC_0011109.jpg,0.18,1.14,0.11,0.69
ISIC_0000387.jpg,0.18,2.48,0.15,0.73
ISIC_0013832.jpg,0.22,1.3,0.11,0.68
ISIC_0010061.jpg,0.2,2.71,0.3,0.59
ISIC_0013044.jpg,0.2,1.73,0.16,0.66
ISIC_0014794.jpg,0.19,11.58,0.19,0.69
ISIC_0010185.jpg,0.3,3.75,0.19,0.73
ISIC_0000419.jpg,0.28,2.67,0.22,0.8
ISIC_0014385.jpg,0.28,1.42,0.11,0.68
ISIC_0000200.jpg,0.07,1.14,0.52,0.64
ISIC_0015215.jpg,0.18,38.94,0.26,0.66
ISIC_0013801.jpg,0.21,9.74,0.1,0.75
ISIC_0014968.jpg,0.21,41.06,0.23,0.73
ISIC_0010568.jpg,0.2,1.48,0.24,0.77
ISIC_0013424.jpg,0.04,1.11,0.07,0.6
ISIC_0012090.jpg,0.21,1.43,0.07,0.64
ISIC_0014349.jpg,0.17,1.19,0.13,0.67
ISIC_0014600.jpg,0.31,9.61,0.15,0.7
ISIC_0012678.jpg,0.22,1.92,0.12,0.65
ISIC_0009920.jpg,0.1,1.17,0.16,0.65
ISIC_0010094.jpg,0.13,3.46,0.3,0.71
ISIC_0012372.jpg,0.2,14.29,0.07,0.64
ISIC_0014469.jpg,0.06,1.69,0.05,0.64
ISIC_0012379.jpg,0.17,1.19,0.13,0.64
ISIC_0013212.jpg,0.13,1.24,0.06,0.67
ISIC_0016003.jpg,0.34,11.41,0.23,0.68
ISIC_0010100.jpg,0.24,1.27,0.19,0.67
ISIC_0010075.jpg,0.19,1.26,0.22,0.84
ISIC_0013443.jpg,0.07,1.16,0.18,0.6
ISIC_0000196.jpg,0.21,3.83,0.39,0.73
ISIC_0015118.jpg,0.18,1.19,0.28,0.73
ISIC_0014458.jpg,0.2,1.72,0.22,0.65
ISIC_0014868.jpg,0.1,52.38,0.26,0.66
ISIC_0012679.jpg,0.18,1.52,0.2,0.71
ISIC_0014617.jpg,0.09,1.58,0.2,0.63
ISIC_0011334.jpg,0.36,1.31,0.2,0.87
ISIC_0009966.jpg,0.11,1.99,0.23,0.68
ISIC_0015963.jpg,0.2,7.53,0.14,0.71
ISIC_0009583.jpg,0.15,1.47,0.08,0.76
ISIC_0009940.jpg,0.37,3.52,0.17,0.73
ISIC_0009897.jpg,0.26,2.39,0.26,0.72
ISIC_0011336.jpg,0.18,3.66,0.13,0.64
ISIC_0000075.jpg,0.1,1.57,0.18,0.67
ISIC_0013936.jpg,0.15,1.61,0.29,0.66
ISIC_0015180.jpg,0.31,51.72,0.21,0.71
ISIC_0013671.jpg,0.09,1.69,0.1,0.65
ISIC_0000269.jpg,0.1,2.09,0.2,0.61
ISIC_0000079.jpg,0.29,3.48,0.2,0.68
ISIC_0010073.jpg,0.23,1.36,0.07,0.7
ISIC_0013558.jpg,0.14,1.19,0.23,0.69
ISIC_0001204.jpg,0.11,1.24,0.05,0.71
ISIC_0012655.jpg,0.2,1.52,0.23,0.68
ISIC_0013223.jpg,0.12,1.73,0.12,0.61
ISIC_0014785.jpg,0.29,2.35,0.3,0.68
ISIC_0016046.jpg,0.18,8.23,0.21,0.67
ISIC_0013688.jpg,0.11,1.83,0.1,0.76
ISIC_0012238.jpg,0.06,1.18,0.08,0.61
ISIC_0013302.jpg,0.2,5.18,0.11,0.66
ISIC_0000343.jpg,0.24,1.68,0.22,0.62
ISIC_0011344.jpg,0.1,1.18,0.15,0.67
ISIC_0010088.jpg,0.21,2.11,0.22,0.65
ISIC_0013109.jpg,0.17,10.73,0.2,0.66
ISIC_0000320.jpg,0.13,1.16,0.24,0.67
ISIC_0014513.jpg,0.18,1.17,0.09,0.61
ISIC_0009430.jpg,0.08,1.22,0.16,0.6
ISIC_0010370.jpg,0.11,1.13,0.14,0.61
ISIC_0014754.jpg,0.06,1.77,0.24,0.6
ISIC_0010569.jpg,0.27,2.09,0.13,0.64
ISIC_0013695.jpg,0.27,1.97,0.15,0.72
ISIC_0013651.jpg,0.15,1.25,0.17,0.69
ISIC_0016043.jpg,0.08,1.17,0.16,0.66
ISIC_0015175.jpg,0.21,18.91,0.26,0.69
ISIC_0015996.jpg,0.22,14.24,0.08,0.61
ISIC_0000254.jpg,0.09,1.19,0.27,0.65
ISIC_0012314.jpg,0.14,1.19,0.14,0.7
ISIC_0012391.jpg,0.21,5.98,0.16,0.65
ISIC_0012290.jpg,0.15,1.99,0.15,0.73
ISIC_0008992.jpg,0.27,1.51,0.13,0.68
ISIC_0012493.jpg,0.17,1.27,0.08,0.76
ISIC_0014942.jpg,0.17,33.78,0.42,0.72
ISIC_0000000.jpg,0.18,1.67,0.31,0.72
ISIC_0015440.jpg,0.1,1.23,0.39,0.69
ISIC_0015943.jpg,0.31,11.42,0.24,0.65
ISIC_0010063.jpg,0.24,1.25,0.22,0.77
ISIC_0012898.jpg,0.1,1.17,0.05,0.67
ISIC_0010857.jpg,0.11,1.19,0.14,0.79
ISIC_0000325.jpg,0.17,1.28,0.3,0.66
ISIC_0015005.jpg,0.31,1.7,0.21,0.54
ISIC_0000271.jpg,0.15,1.18,0.31,0.68
ISIC_0013783.jpg,0.25,1.21,0.12,0.69
ISIC_0001106.jpg,0.13,1.28,0.18,0.68
ISIC_0000310.jpg,0.17,1.16,0.23,0.76
ISIC_0000056.jpg,0.21,1.23,0.21,0.64
ISIC_0000031.jpg,0.2,1.39,0.34,0.66
ISIC_0011203.jpg,0.08,1.21,0.19,0.74
ISIC_0014863.jpg,0.13,1.18,0.28,0.65
ISIC_0012654.jpg,0.28,8.21,0.12,0.68
ISIC_0011322.jpg,0.22,1.44,0.22,0.83
ISIC_0012107.jpg,0.34,2.73,0.18,0.72
ISIC_0010077.jpg,0.12,2.14,0.13,0.65
ISIC_0015563.jpg,0.14,12.46,0.29,0.66
ISIC_0014044.jpg,0.07,1.19,0.05,0.66
ISIC_0009879.jpg,0.16,1.26,0.09,0.68
ISIC_0014897.jpg,0.1,1.7,0.34,0.64
ISIC_0000179.jpg,0.16,6.05,0.27,0.71
ISIC_0000068.jpg,0.12,2.11,0.27,0.68
ISIC_0015207.jpg,0.08,1.15,0.34,0.64
ISIC_0014397.jpg,0.19,1.83,0.2,0.66
ISIC_0015966.jpg,0.24,1.28,0.11,0.71
ISIC_0014151.jpg,0.28,1.39,0.09,0.69
ISIC_0015942.jpg,0.24,3.63,0.26,0.68
ISIC_0011165.jpg,0.04,1.32,0.19,0.73
ISIC_0000198.jpg,0.14,1.45,0.13,0.59
ISIC_0000208.jpg,0.15,1.25,0.26,0.72
ISIC_0009344.jpg,0.08,1.2,0.14,0.64
ISIC_0012675.jpg,0.13,1.65,0.29,0.71
ISIC_0015255.jpg,0.22,1.2,0.27,0.87
ISIC_0010067.jpg,0.25,1.56,0.26,0.74
ISIC_0000322.jpg,0.15,1.37,0.25,0.71
ISIC_0015206.jpg,0.41,34.62,0.29,0.69
ISIC_0009995.jpg,0.34,1.19,0.16,0.91
ISIC_0014755.jpg,0.09,15.21,0.18,0.65
ISIC_0014049.jpg,0.28,2.11,0.09,0.68
ISIC_0000014.jpg,0.12,2.6,0.15,0.69
ISIC_0015237.jpg,0.11,1.16,0.28,0.75
ISIC_0000317.jpg,0.19,1.19,0.26,0.69
ISIC_0010215.jpg,0.23,1.2,0.2,0.67
ISIC_0012828.jpg,0.35,1.57,0.2,0.67
ISIC_0014428.jpg,0.07,1.65,0.21,0.61
ISIC_0000110.jpg,0.06,1.25,0.15,0.71
ISIC_0013306.jpg,0.1,1.17,0.05,0.65
ISIC_0012318.jpg,0.3,2.34,0.09,0.69
ISIC_0013177.jpg,0.17,1.26,0.23,0.65
ISIC_0004337.jpg,0.11,1.13,0.13,0.64
ISIC_0013191.jpg,0.13,1.17,0.06,0.65
ISIC_0013803.jpg,0.14,1.84,0.15,0.7
ISIC_0010852.jpg,0.27,2.06,0.32,0.69
ISIC_0013378.jpg,0.07,1.25,0.24,0.74
ISIC_0012348.jpg,0.18,1.47,0.12,0.76
ISIC_0014610.jpg,0.41,2.03,0.23,0.67
ISIC_0014957.jpg,0.29,39.36,0.44,0.75
ISIC_0013001.jpg,0.11,1.14,0.12,0.65
ISIC_0012856.jpg,0.24,1.75,0.1,0.67
ISIC_0010605.jpg,0.26,1.22,0.15,0.84
ISIC_0015136.jpg,0.24,33.68,0.26,0.71
ISIC_0012988.jpg,0.22,1.8,0.29,0.65
ISIC_0010457.jpg,0.1,1.17,0.15,0.81
ISIC_0012413.jpg,0.18,1.63,0.2,0.65
ISIC_0006114.jpg,0.38,4.87,0.1,0.68
ISIC_0014185.jpg,0.18,1.71,0.07,0.61
ISIC_0013257.jpg,0.06,1.17,0.29,0.68
ISIC_0009875.jpg,0.24,1.45,0.29,0.66
ISIC_0000351.jpg,0.12,1.37,0.3,0.73
ISIC_0009880.jpg,0.09,1.19,0.38,0.64
ISIC_0014943.jpg,0.18,23.97,0.28,0.71
ISIC_0000094.jpg,0.17,1.32,0.13,0.7
